Countries and regions,Doses administered,Enough for % of people,Percentage of population with 1+ dose,Percentage of population fully vaccinated,Daily rate of doses administered
Global Total,5663213144,,,,33380378
Mainland China,2129833000,76.10,,69.30,6454714
India,730337116,26.70,40.30,12.40,7616167
EU,546967065,61.60,66.00,61.50,1394444
U.S.,378569717,59.20,62.90,53.60,721844
Brazil,205866758,50.00,66.90,33.20,1225902
Japan,141432726,56.00,62.10,50.00,1196360
Indonesia,111570821,20.90,26.30,15.10,1301072
Germany,103814560,62.50,66.40,61.90,196672
Turkey,101081488,60.80,61.60,48.10,661160
U.K.,92175948,69.00,72.40,65.60,123029
France,90583383,69.90,76.10,71.30,250680
Mexico,89500945,35.10,46.70,28.90,522165
Russia,85108008,29.00,30.70,26.70,349134
Italy,80413885,66.60,72.20,65.60,255070
Spain,68205694,73.40,79.90,75.40,202482
Pakistan,66456245,16.20,24.50,10.40,1010213
Canada,54228989,72.30,74.70,68.70,84646
South Korea,51555985,49.90,62.20,37.50,732527
Argentina,46402282,51.60,63.70,39.50,386567
Saudi Arabia,39119246,57.40,66.60,48.20,205841
Thailand,38873359,27.90,37.80,16.20,654403
Malaysia,38001646,58.30,64.70,51.20,308649
Philippines,37728114,17.60,20.50,15.00,454876
Colombia,36657856,36.40,48.40,29.90,157134
Poland,36643392,48.20,51.30,50.10,35988
Morocco,36003650,50.60,55.50,45.70,237764
Bangladesh,32751434,9.80,12.10,7.60,987566
Chile,29923619,78.30,75.70,72.60,94600
Iran,29152527,17.50,23.40,11.60,419055
Vietnam,23577917,12.20,20.50,3.90,551276
Sri Lanka,23476342,53.80,60.20,45.80,295775
Netherlands,23179631,67.30,69.80,62.90,173750
Australia,22170011,43.40,53.20,32.40,262933
Peru,20662297,31.20,35.50,26.30,228331
Cambodia,20312411,61.60,68.90,55.60,128008
Ecuador,20170825,58.40,63.10,54.90,66667
UAE,18801148,87.50,82.40,72.10,65989
Belgium,16352789,71.40,74.00,71.90,16525
Uzbekistan,15978140,24.00,29.40,8.70,182161
Cuba,15526511,68.50,55.60,36.80,171134
Portugal,15234083,74.10,85.60,78.20,58536
Ukraine,15026398,18.00,24.90,11.10,214774
South Africa,14367151,14.00,17.60,11.70,143260
Israel,14364617,79.40,66.70,61.20,44868
Sweden,13138198,63.60,67.80,59.40,45842
Kazakhstan,12844958,34.50,37.40,31.10,76643
Taiwan,11961678,25.30,46.40,4.30,136777
Hungary,11690702,59.80,59.70,56.70,56903
Greece,11635474,54.20,58.00,54.30,19962
Czech Republic,11608871,54.50,56.30,54.70,13506
Dominican Republic,11414350,55.10,56.90,52.00,26741
Nepal,10832033,19.00,20.10,17.90,104024
Egypt,10769834,5.40,7.10,3.70,160213
Austria,10592343,59.80,63.00,59.60,15138
Romania,9850304,25.40,27.30,26.70,6910
Switzerland,9834906,57.50,59.90,52.90,23530
Venezuela,9342817,16.80,21.60,12.00,518303
Singapore,8976698,78.70,81.10,79.10,13703
Denmark,8711585,75.00,76.30,73.80,9376
Hong Kong,8061852,53.60,57.40,49.80,45752
Algeria,8000000,9.20,11.50,6.90,132893
Azerbaijan,7430450,37.20,44.50,29.90,60074
Norway,7388015,69.00,73.90,64.00,35100
Finland,7153363,64.80,73.80,55.90,31772
Ireland,6988411,70.60,75.30,70.60,16711
El Salvador,6827005,52.90,58.70,47.00,50965
Jordan,6621480,32.90,35.30,30.40,23370
Tunisia,6292293,26.70,37.50,21.70,80406
Myanmar,6253687,5.90,8.40,3.40,152983
Bolivia,6243449,27.00,35.60,25.30,26542
Serbia,6089871,43.70,42.50,40.70,18935
Uruguay,5903643,83.90,76.80,72.10,26494
Guatemala,5242013,14.90,20.90,8.90,99679
Nigeria,5176869,1.30,1.80,0.80,82158
Panama,4842615,57.40,67.50,47.20,37977
Slovakia,4665375,42.80,44.00,40.40,5802
Zimbabwe,4602020,15.40,18.80,12.10,39755
Costa Rica,4580610,45.10,60.50,29.70,43158
Qatar,4576174,81.90,84.10,79.10,10682
Honduras,4526090,23.20,29.60,16.70,64148
Laos,4402770,30.70,35.70,25.70,57802
Mongolia,4356196,66.10,68.10,64.00,2187
New Zealand,4163418,42.30,56.00,28.50,68403
Paraguay,4095681,28.60,32.00,25.30,22742
Oman,4036350,48.10,61.80,34.40,47322
Iraq,3754174,4.80,2.10,1.30,49933
Croatia,3314168,40.70,43.00,40.30,5646
Lithuania,3253859,58.50,60.80,56.10,8511
Tajikistan,3174535,17.10,22.60,11.60,40720
Belarus,3085256,16.30,17.90,14.70,15235
Kenya,2934285,3.10,4.40,1.70,23201
Lebanon,2716667,19.80,21.80,17.80,146971
Ethiopia,2654956,1.40,2.70,,27945
Rwanda,2569906,10.40,13.40,7.30,65937
Bahrain,2515690,84.80,77.80,73.80,2605
Bulgaria,2391930,17.20,16.80,17.60,7871
Kuwait,2380000,25.10,56.20,19.40,12990
Mozambique,2297842,3.70,5.30,2.10,84381
Angola,2086325,3.50,3.90,3.10,108196
Afghanistan,1979652,2.70,2.10,1.20,389183
Slovenia,1954708,48.30,49.40,45.20,5749
Senegal,1744098,5.30,7.20,3.50,1467
Mauritius,1591414,62.80,65.40,60.20,3305
Albania,1579402,27.50,30.90,24.20,11358
Latvia,1546820,40.30,45.60,40.80,3905
Uganda,1476526,1.90,2.60,0.60,18226
Ivory Coast,1459525,2.80,5.60,0.90,11809
Georgia,1366678,18.30,23.00,13.70,22933
Moldova,1327627,24.80,22.40,27.10,4379
North Macedonia,1326584,31.90,35.50,28.40,8788
Estonia,1302185,49.10,55.60,43.60,3281
Guinea,1286157,4.70,6.50,2.90,11071
Libya,1274076,9.70,17.70,1.70,19568
Ghana,1271393,2.10,2.90,1.30,761
Kyrgyzstan,1249067,9.80,11.40,8.00,11418
Sudan,1129054,1.30,1.50,0.60,21384
Cyprus,1117393,63.80,66.70,60.90,2337
Bosnia and Herzegovina,1060145,16.10,19.20,12.90,7334
Bhutan,1045074,70.10,76.10,64.20,1373
Kosovo,975279,27.10,35.40,18.80,15920
Malawi,969645,2.40,3.50,2.10,5176
Trinidad and Tobago,962287,34.50,38.50,30.50,6374
Fiji,866153,48.40,63.30,33.50,17771
Malta,803975,81.40,84.30,84.10,844
Luxembourg,771470,62.80,66.90,58.60,869
Maldives,694902,93.40,104.00,82.80,1376
Nicaragua,669904,5.10,7.10,3.20,2686
Togo,651941,4.00,5.10,2.90,6848
Zambia,649919,1.80,1.90,1.60,21557
Macau,609281,44.80,48.50,41.40,1536
Jamaica,606286,11.10,17.10,5.60,7262
Timor-Leste,588299,22.70,30.20,15.30,5253
Botswana,573691,12.10,16.00,9.20,5711
Mauritania,565434,7.00,7.00,0.50,44468
Iceland,535408,75.00,78.60,74.50,760
Guyana,495220,31.50,41.40,21.70,2831
Niger,491738,1.10,1.70,0.40,170
Cameroon,435676,0.90,1.40,0.30,1484
Montenegro,412814,33.10,35.10,31.20,1324
Syria,403254,,,,2105
Equatorial Guinea,364051,13.40,15.10,11.60,1138
Suriname,361815,30.30,35.20,25.40,2721
Brunei,353428,38.40,51.10,25.80,4142
Namibia,352962,7.20,9.10,5.30,2988
Gambia,351281,7.50,8.40,6.70,2990
Mali,344151,0.90,1.30,0.50,5418
Yemen,311483,0.50,0.90,0.10,880
Tanzania,310103,0.30,,,5718
Somalia,310005,1.00,1.40,0.70,2980
Republic of the Congo,309575,3.40,4.40,2.40,1286
Cape Verde,309001,28.10,42.90,13.20,6263
Armenia,303325,5.10,6.60,3.60,3523
Madagascar,283091,0.50,0.80,0.30,1230
Comoros,277419,15.90,20.00,11.70,3826
Belize,251317,30.80,42.60,19.00,2125
Barbados,213075,37.10,40.90,33.40,1285
Eswatini,208541,9.40,16.10,15.40,973
Lesotho,201795,4.90,2.00,,24504
Sierra Leone,193557,1.20,2.00,0.40,1051
Curaçao,184056,56.50,59.30,53.60,224
Benin,174074,0.70,1.30,,2375
Bahamas,161613,21.20,27.80,15.50,2479
Aruba,150216,67.10,70.90,63.20,193
Jersey,149748,,,,142
Gabon,146464,3.50,4.00,3.00,1424
Seychelles,143490,74.70,77.40,72.60,158
Samoa,137958,34.30,47.00,21.70,1759
Papua New Guinea,134444,0.80,1.20,0.40,1337
Isle of Man,128601,75.60,76.90,74.40,109
Liberia,113680,1.20,2.50,0.60,1365
Central African Republic,112492,1.20,2.20,0.60,327
DR Congo,111142,0.10,0.10,0.10,2665
Burkina Faso,108799,0.30,0.50,0.10,5065
Cayman Islands,102399,78.80,80.70,76.90,196
Greenland,102357,89.80,124.50,58.70,300
Guernsey,100957,,,,181
Andorra,93430,60.70,67.00,54.30,98
Bermuda,85415,67.80,68.50,67.10,95
Solomon Islands,83441,6.50,9.80,3.20,1973
Gibraltar,79027,116.20,116.90,115.50,20
Antigua and Barbuda,77997,40.20,44.30,36.10,366
Chad,76242,0.20,0.40,0.10,2225
Faroe Islands,72591,74.10,76.10,72.10,153
Tonga,68404,34.20,41.10,27.30,296
Micronesia,67748,32.60,37.70,,219
St. Lucia,66089,18.40,21.20,15.60,261
Djibouti,64721,3.00,3.60,2.40,573
South Sudan,59865,0.20,0.40,0.10,543
Sao Tome and Principe,50886,11.90,18.30,5.60,907
Turks & Caicos,50875,66.90,70.00,63.90,84
Monaco,48691,62.40,67.00,57.80,270
Sint Maarten,48514,57.80,60.40,55.10,67
San Marino,46573,68.50,70.50,70.60,2
Saint Kitts and Nevis,46372,40.70,42.90,38.40,41
Haiti,46201,0.20,0.30,0.10,1479
Grenada,45460,20.90,23.90,17.80,425
Dominica,42837,30.20,31.80,28.60,103
Turkmenistan,41993,0.40,0.60,0.20,
Guinea-Bissau,31090,0.90,1.60,0.20,44
St. Vincent and the Grenadines,30958,14.10,17.30,10.80,305
Anguilla,18471,61.60,63.30,59.90,1
Nauru,14790,56.90,58.60,55.20,
St. Helena,7892,65.80,72.70,58.90,8
Falkland Islands,4407,73.50,87.70,59.20,202
Montserrat,2837,28.40,29.30,27.40,
Eritrea,,,,,
